created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Dec 07 14:28:20 +0000 2023;1732769013707530623;"Dukungan untuk Pak Ganjar Pranowo dan Pak Mahfud MD adalah wujud apresiasi terhadap setiap rintangan yang telah mereka lewati @sekrolteross  https://t.co/rY33C7Nzx8";0;0;0;0;in;1689896450145325056;1732769013707530623;RizalFauz56;https://twitter.com/RizalFauz56/status/1732769013707530623
Thu Dec 07 14:28:20 +0000 2023;1732769011107033157;"Keberhasilan Pak Ganjar Pranowo dan Pak Mahfud MD adalah cermin dari kerja keras dan ketekunan @rrr4bkaaa  https://t.co/9opnUn9VAN";0;0;0;0;in;1690282016804384768;1732769011107033157;alvingunawann71;https://twitter.com/alvingunawann71/status/1732769011107033157
Thu Dec 07 14:28:17 +0000 2023;1732769000659009608;"@Gus_Raharjo @ganjarpranowo Sudah ada dalam program pak Ganjar Tuntaskan IKN jika nanti menang Pilpres";0;0;0;0;in;1698968732138377216;1732646210912296966;ganjaranku;https://twitter.com/ganjaranku/status/1732769000659009608
Thu Dec 07 14:28:17 +0000 2023;1732768999664918668;"Kepercayaan masyarakat Jatim terhadap Pak Ganjar Pranowo dan Pak Mahfud MD semakin menguat @rrdhan15  https://t.co/I2xPGSCh5u";0;0;0;0;in;1688836931558551552;1732768999664918668;fadilladin25;https://twitter.com/fadilladin25/status/1732768999664918668
Thu Dec 07 14:28:15 +0000 2023;1732768992484344306;"KTP SAKTI bukan hanya kartu, tapi juga lambang harapan untuk masa depan yang lebih baik, yang diusung oleh kepemimpinan Ganjar Pranowo. @purpledaisy97  LanjutGan GanjarSatsetIKN KTPSaktiGanjarMahfud https://t.co/fYmyAe9mCN";0;0;0;0;in;1687399634300538880;1732768992484344306;ragaangkasaaaa;https://twitter.com/ragaangkasaaaa/status/1732768992484344306
Thu Dec 07 14:28:12 +0000 2023;1732768979322564876;"Ganjar Pranowo diyakini akan menjadikan Kota Z sebagai contoh sukses untuk pembangunan kota pintar di pulau-pulau lain, termasuk Papua. @ReztuEko  LanjutGan GanjarSatsetIKN KTPSaktiGanjarMahfud https://t.co/DfwGn2yGPP";0;0;0;0;in;1683694784114987009;1732768979322564876;alvian_san45;https://twitter.com/alvian_san45/status/1732768979322564876
Thu Dec 07 14:28:10 +0000 2023;1732768968882958646;"Ganjar Pranowo menjadikan KTP SAKTI sebagai solusi pintar untuk menyederhanakan berbagai layanan publik yang selama ini rumit. @pikapatootie  LanjutGan GanjarSatsetIKN KTPSaktiGanjarMahfud https://t.co/oLeLwKdohJ";0;0;0;0;in;1688170441398165505;1732768968882958646;melsiputri861;https://twitter.com/melsiputri861/status/1732768968882958646
Thu Dec 07 14:28:06 +0000 2023;1732768954983063953;"Ganjar Pranowo memang sosok yang tepat untuk mengembangkan program KTP SAKTI, membawa inovasi positif untuk kemajuan Indonesia. @Ptksj0  LanjutGan GanjarSatsetIKN KTPSaktiGanjarMahfud https://t.co/QwEviwjSuN";0;0;0;0;in;1689130577688150016;1732768954983063953;Muhammarinaldoo;https://twitter.com/Muhammarinaldoo/status/1732768954983063953
Thu Dec 07 14:28:00 +0000 2023;1732768927439000024;"@Semi03558529 @ganjarpranowo Semoga pemuda dan tenaga kerja yg bekerja di IKN prioritas diisi orang2 kalimantan yg siap kerja.";0;0;0;0;in;1364867719;1732760993040916504;yuwantino12;https://twitter.com/yuwantino12/status/1732768927439000024
Thu Dec 07 14:27:53 +0000 2023;1732768899429490910;"Kreativitas Ganjar Pranowo tercermin dalam KTP SAKTI, menyatukan program bantuan sosial dengan kemudahan mengakses layanan publik. @partofsavior  LanjutGan GanjarSatsetIKN KTPSaktiGanjarMahfud https://t.co/y5VLnkY5p0";0;0;0;0;in;1691001079297949696;1732768899429490910;IlhamiDendi;https://twitter.com/IlhamiDendi/status/1732768899429490910
