created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,label,sentiment,score
Thu Dec 07 11:44:36 +0000 2023,1732727809351778665,"@rmol_id Kasihan org ini, karena sangat dengki ke Pak Anies sampe kelihatan gobloknya...😞",0,0,0,0,in,1624008535649697793,1732688208063053847,YahyaAlkatiri31,https://twitter.com/YahyaAlkatiri31/status/1732727809351778665,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9996065497398376}]",0.9996065497398376
Thu Dec 07 11:44:06 +0000 2023,1732727683220750591,@Resty_J_Cayah @prabowo Oh kader dari partai lain yg dukung Anies itu dong yg benar ya ?? 🤣🤣,0,0,0,0,in,4859508591,1732663910657052759,Gunawanpark,https://twitter.com/Gunawanpark/status/1732727683220750591,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.994717538356781}]",0.994717538356781
Thu Dec 07 11:44:03 +0000 2023,1732727669694087356,Massa yg menyambut Anies di bandara Kuala Namu Medan tak terkendali. https://t.co/26WPcQuhPj,0,0,0,0,in,1630034258944303104,1732727669694087356,SulbenSiagian,https://twitter.com/SulbenSiagian/status/1732727669694087356,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9574529528617859}]",0.9574529528617859
Thu Dec 07 11:43:49 +0000 2023,1732727612018180465,@yaniarsim @aniesbaswedan Pak Anies membawa perubahan dan harapan rakyat,0,0,0,1,in,1719314157307375616,1732697347531173936,kalilaaaq20,https://twitter.com/kalilaaaq20/status/1732727612018180465,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9998302459716797}]",0.9998302459716797
Thu Dec 07 11:43:38 +0000 2023,1732727565243252941,"belajar Hil, biar bsk bisa 🥹😔🫥 kitabisa com HiLma Nuril 12 th Diagnosa Cerebral Hypoton https://t.co/isucoOiCWJ  Panjang umur kebaikan✍🏻🙇🏼‍♀  Marapi banjir hujan asam sulfat Jakarta u17 bcl raffi mega chindo gempa rohingya hamas gemoy prabowo palestin anies ganjar Gibran Gaza https://t.co/CdOjx6OKpc",0,0,0,1,in,1317084070468177920,1732727565243252941,NurilHiLma2022,https://twitter.com/NurilHiLma2022/status/1732727565243252941,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9824469089508057}]",0.9824469089508057
Thu Dec 07 11:42:50 +0000 2023,1732727364612948302,"@ZulkifliLubis69 @aniesbaswedan Hebat mas Anies👍👍👍, saya jd inget omongan salah satu cucu dr Pahlawan Nasional, bahwa beliau diksh rmh oleh mas Anies atas jasa kakeknya yg Pahlawan nasional, disaat semua pejabat berpikir perutnya, beliau berpikir soal pejuang2 bangsa ini 🇲🇨🇲🇨🇲🇨👍👍",0,0,0,0,in,1622400160142876674,1732713599263822154,andaretos37,https://twitter.com/andaretos37/status/1732727364612948302,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9788525700569153}]",0.9788525700569153
Thu Dec 07 11:42:10 +0000 2023,1732727196421427316,@Safa_Andriana @geloraco @Fahrihamzah Maksud fahri apa Anies harus jadi dewan dulu...atau kader partai dulu? Dia nya sendiri juga masih gitu😁😅,0,0,0,0,in,1590351531085561858,1732698887427960919,Dpram_Balik,https://twitter.com/Dpram_Balik/status/1732727196421427316,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9860355854034424}]",0.9860355854034424
Thu Dec 07 11:41:46 +0000 2023,1732727095305138564,"@PolJokesID kata siapa bakal distop? jangan cuma judul yang dipake, liat apa kata pak anies bukan cuma kata si pembuat judul😄",0,0,0,0,in,1319086112720080897,1732718068802228333,RoidMuflih,https://twitter.com/RoidMuflih/status/1732727095305138564,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9935298562049866}]",0.9935298562049866
Thu Dec 07 11:41:39 +0000 2023,1732727067018719570,Alhamdulillah berkesempatan buat duduk di paling depan pas acara Desak Anies wkwk walaupun pas mau nanya ga ditunjuk terus 🥲 https://t.co/1pU51XsS0k,0,0,0,1,in,1153627741243113472,1732727067018719570,mylittlebossy,https://twitter.com/mylittlebossy/status/1732727067018719570,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.8976693749427795}]",0.8976693749427795
Thu Dec 07 11:41:30 +0000 2023,1732727028007551170,"@ferrykoto @aniesbaswedan Lalu merawat fakir miskin serta meningkatkan kesejahteraan masyarakat bukan aturan UU? Anies tdk pernah blg menolak, tetapi bukan prioritas, artinya kalau IKN tdk dpt investor maka tdk harua dgunakan APBN.",0,0,0,0,in,193640033,1732561644071624719,RomiArdila,https://twitter.com/RomiArdila/status/1732727028007551170,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9855965971946716}]",0.9855965971946716
